Company,Chief Executive,CEO Position,Business Enquiry,Business Contact Person,Year of Incorporation,Office Address,PostCode,City/Town,State,Country,Telephone,Fax,Email,Website,Raw Materials Used,Production Process,Products Manufactured,Miscellaneous data 1,Miscellaneous data 2,Miscellaneous data 3,,
"
CHawk Technology (M) Sdn Bhd(1245225-D)",Jonathan Chang,Chief Executive Officer/Director,Daniel Oon,Director of Operations,2017,"11 & 13, Jalan SiLC, Kawasan Perindustrian SiLC

",79200,Iskandar Puteri,Johor,Malaysia,607-509 6201,607-509 6203,"

,","United States, Singapore
",,,,,,,,
"
Chemia World Sdn Bhd(1055938-U)",Han Yok Lan,Director,Karen Wong,General Manager,2013,"D-01-01, Menara Mitraland, 
No. 13A, Jalan PJU, Kota Damansara

",47810,Petaling Jaya,Selangor,Malaysia,603-7442 6058,603-7842 7380,"
karen@chemiaworld.com
,",None,,,,,,,,
"
ChemOrbis Sdn Bhd(949258-T)",Khoo Yu Jin,General Manager-Asia Pacific & India,2001,"Suite B-11-11 & 12, Level 11, Block B, Plaza Mont Kiara, No. 2, Jalan Kiara, Mont Kiara


",50480,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603-6411 5999,603-6411 5989,"
qozdenler@chemorbis.com; yjkhoo@chemorbis.com; mar,","
www.chemorbis.com,","Services
",None,,,,,,,,
"
Chevron Phillips Chemical Malaysia Sdn Bhd(395574-T)",Robert Chng,Asia Pacific Manager,Teddy Widjaja,ASEAN Sales Manager,1988,"Suite 2022, Level 20, The Pinnacle, Persiaran Lagoon, Bandar Sunway

",47500,Subang Jaya,Selangor,Malaysia,603-5624 4334,603 - 5624 4201,"
widjat@cpchem.com
,",None,,,,,,,,
"
Citra Murni Sdn Bhd(213708-M)",Jeffrey KH Lim,Managing Director,,Jeffrey KH Lim,1990,"11, Jalan Pengasah 3, Off Jalan Kapar

",41400,Klang,Selangor,Malaysia,603-3290 2130,603-3290 2131,"
jeffreylim@citramurni.com.my
,",None,None,,,,,,,
"
CJ Polymers Sdn Bhd(539468 V)",Kerk Han Meng;,Managing Director,Kerk Han Meng; Simon Sin; Brandon Chin,Managing Director; Director/General Manager; Sales,2001,"B-6-16, VOX Southgate, Jalan Dua, Off Jalan Chan Sow Lin
",55200,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603-9221 3000,603-9221 3006,"
brandon@cjpolymers.com;sales@cjpolymers.com
,","Distributors for Chemicals - PTA, Fertilizer, Yarn, Distributor for Resins - PP, HDPE, LDPE, LLDPE, PET, PS, PVC
",,,,,,,,
"
CL Materials Trading Sdn Bhd(867721-A)",Chang Eng Fong,Director,Lim Hock Soon,Director,2009,"97-3-1, Prima Tanjung Business Centre, Jalan Fettes, Bandar Tanjung Tokong


",11200,Penang,Pulau Pinang,Malaysia,604-890 1203,604-8901195,"
hslim@clmats.com
,",None,,,,,,,,
"
Clariant Masterbatches (M) Sdn Bhd(440790-X)",Madam Gladys Soh,Managing Director,Madam Gladys Soh,Managing Director,1997,"79 & 80, HICOM Sector B, Jalan Teluk Gadung 27/93A

",40000,Shah Alam,Selangor,Malaysia,603-5101 2888,603-5191 8718,"
gladys.soh@clariant.com; alex.lim@clariant.com
,","Additives, Masterbatches
",,,,,,,,
"
Cloeren Incorporated",Alicia Cloeren,Director,Alicia Cloeren,Director,1980,"401, 16th Street, Orange

",77630,Orange,Texas,USA,+1-409 886 5820,+ 1-409 886 5570,"
ACloeren@cloeren.com ; KCao@cloeren.com
,","Worldwide
",,,,,,,,
"
CLS Engineering Sdn Bhd(1132522D)",Chen Choon Onn,Director,Sin Jen Ni,Director,2015,"22, Jalan Temenggong 10, Taman Ungku Tun Aminah, Skudia

",81300,Johor Bahru,Johor,Malaysia,6014-773 3077,607-550 0205,"
info@cls-engr.com
,",None,,,,,,,,
"
CM Machinery Sdn Bhd(489260 H)",Chin Foo Kong,Director,Christy Chin,Sales Manager,1989,"2A, Jalan BP 4/9, Bandar Bukit Puchong

",47120,Puchong,Selangor,Malaysia,603-8068 2800,603-8068 1800,"
master@cmmachinery.com.my; fkchin@cmmachinery.com.my; christy@cmmachinery.com.my
,","Singapore, Indonesia, Thailand, Vietnam, India, Myanmar, Sri Lanka, Bangladesh
",,,,,,,,
"
Color Pigment (M) Sdn Bhd(181798-W)",Mr Bee Chee Sem,Marketing Director,Victor Sam,,1989,"PT360, Jalan TPP 5/1, Taman Perindustrian Puchong, Seksyen 5

",47160,Puchong,Selangor,Malaysia,603-8061 5629 (Hunting Line),603-8061 5482,"
info@colorpigment.com;bee@colorpigment.com
,","Compounds, Masterbatches, Pigments
","Vietnam, United Kingdom
",,,,,,,
"
Connell Bros Company (Malaysia) Sdn Bhd(178024-H)",Andy Burlingham,General Manager,Poh Chee Keong,Business Manager,1970,"Plot 14, Jalan 31/48, Seksyen 31, Kota Kemuning

",40460,Shah Alam,Selangor,Malaysia,603 - 5122 0070,603 - 5122 7149,"
cheekeong.poh@wecocbc.com
,",None,,,,,,,,
"
Corvet Technologies Sdn Bhd(578542-W)",Yau Kok Leong,Managing Director,Yau Kok Leong,ManagingDirector,2002,"United 17-6, Block E1, Jalan PJU 1/42, Dataran Prima

",47301,Petaling Jaya,Selangor,Malaysia,603-7803 6388,603-7803 8788,"
klyau@corvet.com.my
,","Specialised in Design and Manufacturing of Precision Plastic Injection Moulds, Die-Casting and Blow Moulds Which Are Supplied to Renowned Manufacturers of Household Wares, Electrical and Electronic Appliances, Automotive Parts
",,,,,,,,
"
Daelim Corporation(S95FC4885D)",Lee Minku,General Manager,1995,"10, Hoe Chiang Road, #04-07 Keppel Tower 

",89315,Singapore,Singapore,Singapore,0065-6327 9330,0065-6327 9350,"
alan@daelimcorp.co.kr
,","
www.daelimcorp.co.kr,","DAELIMPOLY
",None,,,,,,,,
"
Daichong Engraving Sdn Bhd(439256 V)",Wu Kar Choon,Company Director,Leow Yoke Chong,Company Director,1997,"13,15,17,19, Persiaran Jelapang Maju 8, Taman Perindustrian Ringan Jelapang Maju

",30020,Ipoh,Perak,Malaysia,605-526 2829,605-527 1380,"
daichong@daichong.com.my
,",None,,,,,,,,
"
Dai-Ichi Jitsugyo (M) Sdn Bhd(148725-V)",N. Nagasawa,Chang Wei Keong,,Sales Manager,1989,"Box No 80, 22nd Floor, UBN Tower, No. 10, Jalan P Ramlee


",50250,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603-2070 6913,603-2070 6912,"
wkchang@daiichijitsugyo.com.my
,","Machinery Supplier: MITSUBISHI Injection Moulding Machines, Fanus Roboshot Fully Electric Injection Moulding Machine, STAR automatic Unloader Robot Arms, IKK Moularized and Integrated IC Production System Compatible for Charge, TAMPO Printing Machines, KAWATA/MATSUI Labour Saving Equipment, ASANO Vacuum Forming Machines, CAD-CAM-CAE for Injection Moulding, Extruding Machinery, Auxiliary Equipment, Granulator, Quick Mould Changing System, Stocks/ Transporting Systems, Factory Automation Systems, Factory Design, Harima Electronic Materials/Paint Shop/Line/Equipment
",None,,,,,,,
"
DIC (Malaysia) Sdn Bhd(23632-A)",Ng Chew Ying,Managing Director,Larry Ng Cheong Lip,Business Development Director,1974,"PT 501 & 502, Persiaran Sabak Bernam, Seksyen 26, Kawasan HICOM

",40400,Shah Alam,Selangor,Malaysia,603-5191 0033,"603-5191 7199, 5191 7233","
shchua@dic.com.my; larryclng@dic.com.my
,","Products Manufactured - Gravure, Flexo, UV, Screen and Other Printing Inks, Plastic Resins, Compounds, PSS & LCP Compounds, Dry Colorants for Plastic. Trading Products - Plastic Resins, Plastic Pallets, Organic Pigments, I.C., Tray, Liquid Crystal, Chemical Additive and Plasticizers.
",,,,,,,,
"
DIC Compounds (M) Sdn Bhd(171369 - U)",Hideki Uchimi,Managing Director,SK Lee,General Manager,1988,"Plot 481, Lorong Perusahaan Baru 2, Prai Industrial Estate

",13600,Prai,Pulau Pinang,Malaysia,604-380 3200,604-390 0124,"
sklee@dcm-dic.com.my
,","Manufacturing of Compounds, Masterbatches, Dry Colour & Engineering Plastic
",,,,,,,,
"
Dindings Engraving Sdn Bhd(119042-X)",Chong Choon Chin,Managing Director,Collin Chong,General Manager,1973,"43, Persiaran Rishah 7, Kawasan Perindustrian Silibin

",30100,Ipoh,Perak,Malaysia,605-5266505,605-5266597,"
collin_dindings@yahoo.com; fkwong_dindings@yahoo.com
,",None,,,,,,,,
"
Dow Chemical (Malaysia)Sdn Bhd(209598 K)",Andrew Liveris,"President, Chairman & CEO",Yeoh Lian Kuan,Senior Account Manager,1967,"Level 6, CP Tower, Jalan 16/11, Pusat Dagang Section 16

",46350,Petaling Jaya,Selangor,Malaysia,603-7965 5208/5218,603-7958 3377,"
lkyeoh@dow.com
,",None,,,,,,,,
"
D-R Engineering Sdn Bhd",KL Giam,Managing Director,Eric KF Giam,Director,1968,"Lot 2, Jalan CJ1/2, Kawasan Perusahaan Cheras Jaya

",43200,Balakong,Selangor,Malaysia,603-9075 9333,603-9075 9111,"
dresb@po.jaring.my
,","Specialised in Design and Manufacturing of Precision Plastic Injection Moulds, Die-Casting and Blow Moulds Which Are Supplied to Renowned Manufacturers of Household Wares, Electrical and Electronic Appliances, Automotive Parts
Cpds, VERSIFY* - Plastomer and Elastomer, WIRE and CABLE Compounds - Polyolefin Based Compounds.
",,,,,,,,
"
Dynamic Frank Sdn Bhd(384164-A)",Beh Cheng Siong,Chief Executive Officer,Beh Cheng Siong,Chief Executive Officer,1996,"Plot 63, Lorong Perusahaan Maju 4, Prai Industrial Estate, Phase 4

",13600,Prai,Pulau Pinang,Malaysia,604-507 8300,604-507 8500,"
bcsiong@frank-group.com
,","Additives, Compounds, Masterbatches, Pigments, Resins
",,,,,,,,
"
Emeryoleo Specialties (M) Sdn Bhd(215324-V)",Ramesh Kana,Group Ceo,See Soon Seng,Regional Sales Director,2010,"Lot 4, Jalan Perak, Kawasan Perusahaan Telok Panglima Garang
 
",42500,Telok Panglima Garang,Selangor,Malaysia,603-3326 8686,603-3122 8575,"
weebeng.yap@emeryoleo.com
,","Chemicals, Additives
",,,,,,,,
"
Engel Singapore Pte Ltd(200923224N)",Thomas Lim,Sales Director,Bobby Lee,Sales Manager,2009,"12 Tannery Road, # 08 -01, HB Centre 1

 
",347722,Singapore,Singapore,Singapore,0065-6743 3162,0065-6743 1176,"
sue.chia@engel.com.sg
,",None,,,,,,,,
"
Era Suria Ecopreneurs Sdn Bhd(1270423-H)",S. Sri Umeswara,Chief Executive Officer,S. Sri Umeswara,Chief Executive Officer,2018,"501, Block A, Mentari Business Park, Jalan PJS 8/5, Bandar Sunway


",46150,Petaling Jaya,Selangor,Malaysia,603-5635 7708,603-5632 7708,"
s.sriumeswara@eseco.com.my
,",None,,,,,,,,
"
Excel Mould Manufacturing Sdn Bhd",SL Lau,Director,1989,"No. 1 & 3, Jalan Tambur 33/19, Shah Alam Technology Park, Seksyen 33

",40400,Shah Alam,Selangor,Malaysia,603 - 5121 9888,603 - 5124 6898,"
sllau@excelmould.com.my
,","ISO 9001 : 2000
","Mould Makers
",None,,,,,,,,
"
Exodus Sdn Bhd(377828-A)",Goh Jin Kiat,Managing Director,Goh Jin Kiat,Managing Director,1996,"11, Jalan Nilam 1/1, Taman PerindustrianTeknologi Tinggi Subang, Batu Tiga

",40400,Shah Alam,Selangor,Malaysia,603-5636 9130,603-5636 9284,"
info@exodusml.com.my; ngsc@exodusml.com.my
,","Singapore
",,,,,,,,
"
ExxonMobil Chemical Malaysia Sdn Bhd(4371 P)",Colin Loh,Director,Chia Jen Mei,Account Manager,1961,"Level 18, Menara ExxonMobil, Kuala Lumpur City Center

",50088,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603 - 4815 2000,603 - 21730 9265,"
jen-mei.chia@exxonmobil.com

,",None,,,,,,,,
"
FNP Engineering Sdn Bhd(267148-D)",Ooi Ngiap Ten,Managing Director,Ng Ngyap Hue,Project Manager,1993,"21A, Jalan Bakawah 36, Taman Johor Jaya
",81100,Johor Bahru,Johor,Malaysia,607-3552 043,607-3543 248,"
fnp9001@hotmail.com
,",None,,,,,,,,
"
Focus Pigment Sdn Bhd(757960-U)",Steve Lim,Director,Steve Lim,Director,2006,"60-1, Tingkat 1, Persiaran Mahsuri 1/2, Bayan Lepas


",11900,Bayan Lepas,Pulau Pinang,Malaysia,604-6460021,604-6424306,"
winson@focuspigment.com.my; lkchin@focuspigment.com.my
,","Pigment
",,,,,,,,
"
Goldbell Equipment Sdn Bhd(783548-T)",Ang Yoon Ping,Country General Manager,Ong Li Lian,Business Unit Manager,2007,"Lot 2-36 & 2-38, Jalan SU7, Seksyen 26, Persiaran Tengku Ampuan


",40400,Shah Alam,Selangor,Malaysia,603-5192 2881,603-5192 1882,"
onglilian@goldbell.my
,",None,,,,,,,,
"
Guan Heng Trading Co(Guan Heng Trading Co)",Lim Teik Chooi,Managing Partner,Lim Teik Chooi,Managing Partner,,"142, Lebuh Victoria
",10300,Pulau Pinang,Malaysia,604 - 261 8849,604 - 261 8849,"Others
","Sales of Plastic Products
",None,None,,,,,,,
"
Hai Guan Heng Co Sdn Bhd",Saw Kok Leng,Director/CEO,,,Saw Kok Leng,Director/CEO,1978,"51, Unit 14-E, Menara BHL, Jalan Sultan Ahmad Shah

",10050,Pulau Pinang,Malaysia,"604-228 1146, 227 6158/6040",604-228 5068,None,None,,,,None,,,
"
Heattemps Engineering Sdn Bhd(481406-W)",Low Kok Hing,Managing Director,,,Low Kok Hing,Managing Director,1999,"34 &36, Jalan Bayu 2/1, Taman Perinduatrian Tampoi Jaya

",81200,Johor Bahru,Johor,Malaysia,607-236 6611,"Machinery Supplier, Equipment Supplier, Others
","Manufacturer/ Supplier - Industrial Heaters, Temperature Sensors for Machinery Parts, Industrial Oven, Furnace, Solder Pot and Other Accessories
",,,,None,,,
"
Heng Soon Trading Sdn Bhd(320813-X)",Tan Chu Keang,Managing Director,,,Chen Loke Wah,Sales Manager,"11, Jalan Pantai Jerjak 13, Sungai Nibong

",11900,Sungai Nibong,Pulau Pinang,Malaysia,604-657 7980/0326,604-657 7350,None,None,,,,None,,,
"
High Ace Industries Sdn Bhd",Lim Aun Ghee,Managing Director,None,,1994,"Plot 9, Lorong Perusahaan Bukit Minyak 7, Kawasan Perusahaan Bukit Minyak, S.P.T


",14100,Pulau Pinang,Malaysia,604 - 507 1888,604 - 507 0118,"
info@highace.com.my
,","
www.highace.com.my,",None,None,,,,None,,,
"
Hightech Polymer Sdn Bhd(199897-U)",Lee Meng Han,Managing Director,Goh Oon Teong,General Manager,1990,"Lot 2969, MK 16, Kawasan Perusahaan Acku, Seberang Perai Utara

",13400,Butterworth,Pulau Pinang,Malaysia,604-324 3800/8,604-324 3811,"
mhlee@hp.wahlee.com;otgoh@hp.wahlee.com
,",None,,,,,,,,
"
Honda Trading Malaysia Sdn Bhd(726416-K)",Kenichi Akiba,General Manager,Chew Lai Tyng,Manager (Resin Dept),2006,"B-08-07 & 08, Level 8, USJ 25/1, Sky Park One City


",47650,Subang Jaya,Selangor,Malaysia,603-5022 3160,603-5022 3170,"
chew_lt@hondatrading.com.my
,","Supplier - Resin, Aluminium and Automotive Parts
",,,,,,,,
"
Hyosung Singapore Pte Ltd(198105495K)",Yearn Soo Jeong,Managing Director,Jievn Yoo,Sales Manager,1981,"5 Temasek Boulevard, # 08-03, Suntec Tower Five


",38985,Singapore,Singapore,Singapore,0065-6337 2079,0065-6339 45040065-6339 4504,"
ysjeong@hyosung.com;stella.yoo@hyosung.com
,",None,,,,,,,,
"
Imerys Minerals Malaysia Sdn Bhd(86796-M)",Frahcois Quentin,General Manager,Chen Chan Hoong,Sales Manager,1982,"Suite 20.03, 20th Floor, Menara IGB, Mid Valley City, Lingkaran Syed Putra

",59200,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603 - 2267 9200,603 - 2287 8503,"
www.imerys.com,","Supplier of Calcium Carbonate
",,,,,,,,
"
Impact Colour Sdn Bhd(237953-U)",Yang Pai Jia,Managing Director,Loke Teik Chee,Executive Director,1992,"LotPT9377, Jalan Besar, Kampung Bukit Lanchong

",47650,Subang Jaya,Selangor,Malaysia,603 - 5191 7878,603 - 5191 3332,"
pj.yang@yahoo.com; info@impactcolour.com.my
,","Indonesia, Thailand
",,,,,,,,
"
Inabata Malaysia Sdn Bhd(168522-U)",Yasuhiro Takimota,Managing Director,Ng Soon Fong,General Manager,1988,"Letter Box 83, 25th Floor, UBN Tower, 10, Jalan P Ramlee

",50250,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603-2078 8588,603-2078 8051,"
Ng.sf@inabata.com
,",None,,,,,,,,
"
IPLAST40 Sdn Bhd(1198716A)",Anston Tan,Chief Executive Officer,Anston Tan,Chief Executive Officer,"26-2, Jalan Putra Perdana 3A, The Glades, Putra Heights

",47650,Subang Jaya,Selangor,Malaysia,603-5021 8282,603-5021 8283,"
kc.o@i40.sg; faizah.h@i40.sg; aizad.f@i40.sg
,","
www.iPlast40.com,","Providing Business Training and Consultation Towards Industry 4.0
",,,,,,,,
"
Isochem (M) Sdn Bhd(209559-M)",Lim Leong Shiau,Managing Director,Lim Leong Shiau,Managing Director,"No. 6, Jalan Anggerik Mokara, 31/45, Kota Kemuning, Seksyen 31

",40460,Shah Alam,Selangor,Malaysia,603-5124 6208/6308/6398,603-5124 6648,"
general@isochemsb.com
,","
",None,,,,,,,,
"
Itochu Plastics Pte Ltd(992261-K)",Ryoichi Iwasaki,Managing Director,Yeo Zhen Wei,Assistant Manager,1988,"No. 1, Wallich Street, #32-03 Guoco Tower

",78881,Singapore,Singapore,Singapore,65-6230 0800,65-6230 0578/79,"
ciplas@itochu.com.sg
,","South East Asia, China, India, Pakistan, Columbia, Germany, Japan, Korea, Nigeria, Sri Lanka, Taiwan, United States
",,,,,,,,
"
Jebsen & Jessen Ingredients (M) Sdn Bhd(253307X)",Mak Tai Ho,Managing Director,E Eng Kheng,Department Manager (Plastics & Rubber Dept),1992,"7-13A-01, Level 13A, Jebsen & Jessen Tower, UOA Business Park (Tower 7), Jalan Pengaturcara U1/51A, Seksyen U1


",40150,Shah Alam,Selangor,Malaysia,603 - 5030 6388,603 - 5030 6383,"
engkheng_e@jjsea.com
,","Processing Additives-Slip Agent Lubricants/Wax/Dispersant/Antioxidants/Mould Release Agent, Metal Stearate (Calcium/Zinc and Magnesium). Coupling/Reinforcing Agent: Vinyl Silane, Flame Retardant (Bromine/Antimony Trioxide/Aluminium Trihydrate/Magnesium Trihydrate/Zinc Borate), Polyurethane Flame Retardant (Phosphate), Fume Silica (Aerosil), Matting Agent, Antiblocking Agent Organic Peroxide/Initiator Pigment-Pigment Black, Pigment White (TiO2), Lamp Back, Conductive Black, Antistatic Filler-Barium Sulphate Monomers, and Specialty Monomer-Methyl Methacrylate (MMA) & Specialty Acrylic Cross Linkers (TMPTMA, BGDMA). High Performance Polymer Resin - Polyether Ether Ketone PEEK (Vestakeep), PPA Engineering Thermoplastics - Polyamide 6-3-T (PA 6-3-T) Compound (Trogamid), Polyamide 12 Resin and Compound (Vestamid/Daiamid), PBT Compound (Vestodur), Polyamide 6-3-T (PA/ABS, PBT, PBT/PET, Chemical Foaming Agent Purging Material (Rapid Purge) Specialty Additives, Antimicrobial, Antifudging, Fragrance
",,,,,,,,
"
Jentech Enterprise(0161279-M)",Ng Chiew Punn,Ng Chiew Punn,None,,,"100, Pekeliling Dataran Kledang,Industri Chandan Raya, Menglembu, Ipoh


",31450,Ipoh,Perak,Malaysia,605-282 8313/7313,605-282 0313,"
jentech@hotmail.com
,",None,None,,,,None,None,,
"
Keng Cheong Trading Co Sdn Bhd(31105-H)",Tan Chin Wah,Managing Director,None,,1977,"22, Jalan Kikik, Taman Inderawasih

",13600,Prai,Pulau Pinang,Malaysia,604-399 1378,604-399 1379,"
kengcheongtrading@hotmail.com
,",None,None,,,,None,,,
"
Kentmold Industries Sdn Bhd(227280-V)",Wong Choon Peng,Managing Director,,,Wong Choon Peng,Managing Director,1987,"10 & 12 , LorongIndustri Ringan 1, Taman Industri Ringan Juru

",14100,Simpang Ampat,Pulau Pinang,Malaysia,604-508 2311-5,"Mould Makers
","Mould Maker and Plastic Injection Moulding
",,,,None,,,
"
K-One Industry Sdn Bhd(554489 - P)",YBhg Dato'Martin Lim Soon Seng,Chief Executive Officer,,,New Jen Kok,Project & Technical Director,2001,"No. 66 & 68, Jalan SS22/21, Damansara Jaya


",47400,Petaling Jaya,Selangor,Malaysia,603-7728 1111,"ISO 9001, ISO 14001, ISO 13485, TS 16949, OHSAS 18001, ATEX
","France, Sweden, United States
",,,,None,,,
"
Kopetro Trading & Services Sdn Bhd(497384-D)",Abdol Alim Yaacob,Chief Executive Officer,,,Mohd Husny Mustaffa,Senior Manager,1999,"B-2-14, Megan Avenue II, 12, Jalan Yap Kwan Seng

",50450,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603-2161 3298,None,None,,,,None,,,
"
Lim Teck Lee (M) Sdn Bhd(4886-P)",Lim Kaling,Director,,,Tan Song Seng,Operation Manager,1918,"177, Beach Street, 
",10300,Pulau Pinang,Pulau Pinang,Malaysia,604-261 3230/3043,"Raw Material Supplier
",None,,,,None,,,
"
Limax Industries Sdn Bhd(366324-U)",Dr Khoon-Sitt Teo,Director,,,Dr Khoon-Sitt Teo,Director,1995,"Lot 60, Jalan Ijuk 26/5, Hicom Industrial Estate, Section 26

",40400,Shah Alam,Selangor,Malaysia,603-5191 6688,"LIMAX
","Machinery Supplier, Equipment Supplier
",,,,"Worldwide
",,,
"
Linachem Sdn Bhd(199885-D)",Ung Thean Hock,Managing Director,,,"Richard Loo, Ben Ung","Sales Director, Business Development Manager",1990,"26 & 28, Jalan Serendah 26/39, Seksyen 26, Kawasan Perindustrian HICOM



",40400,Shah Alam,Selangor,Malaysia,603-5614 3622,"Chemicals
","Distributor/ Importer of Chemicals - Titanium Dioxide Pigment, Inorganic Pigment Colour, Industrial Chemicals, Rubber Chemicals
",,,,None,,,
"
Lit Seng Moulding Sdn Bhd(657799-H)",SC Yeo,Managing Director,None,,2004,"Lot PTD 2020, Block B, Jalan Rami 5, Kawasan Perindustrian Bukit Pasir, Sungai Raya

",84300,Muar,Johor,Malaysia,606-985 9886/7,606-985 8819,"
info@litseng.com
,","Germany, Vietnam, Indonesia, Thailand, Singapore
","Mould Makers
",,,,None,,,
"
LJH Plastic Trading Sdn Bhd(795172-U)",Lee Joo Hock,Director,Kimberly Lee Pei San,Manager,,"37, Jalan Seroja 47, Taman Johor Jaya

",81100,Johor Bahru,Johor,Malaysia,607-3557 908,607-3560 764,"All kind of Plastic Products
",None,,,None,,,,,
"
Lotte Chemical Titan Corporation Sdn Bhd(154990-W)",Lee Dong Woo,President & CEO,Lau Chee Ming,"Acting Vice President, Polymers Business",1986,"PLO 312, Jalan Tembaga 4, Pasir Gudang Industrial Estate

",81700,Pasir Gudang,Johor,Malaysia,607-253 8888,"TITANPRO, TITANEX, TITANLENE, TITANZEX, TITANVENE
","ISO 9001 : 2008, OHSAS : 18001
",,,,"Resins
",,,,,
"
LT Bimetallic Engineering (KL) Sdn Bhd(1216035P)",Lee Fook Heng,Director,Tan Chek June,Business Development Manager,,"3, Jalan Perdagangan Subang MAS, Pusat Perdagangan Subang MAS

",47620,Subang MAS,Selangor,Malaysia,603-5879 7835,603-5879 7372,"Equipment Supplier
","Design & Manufacturing of Screw, Shafts & Barrels.
",,,None,,,,,
"
Mactex Sdn Bhd(903971-V)",Joshua Ong,Director,Koh Wei Kiat,Business Development Manager,2010,"No 34, Jalan PJS 11/8, Bandar Sunway

",46150,Petaling Jaya,Selangor,Malaysia,603-5612 9693,"MACTEX
","Singapore, Indonesia, Vietnam, Myanmar, Philippines",,,,None,,,,,
"
Malayan Electro-Chemical Industry Co. Sdn Bhd",Ng Chong Lam,Director/General Manager,Ng Chong Lam,Director/General Manager,1973,"1416, Lorong Perusahaan Dua

",13600,Prai,Pulau Pinang,Malaysia,604-390 7928,"MECION, MECI
","ISO 9001 : 2008
",,,,"Compounds, Resins
",,,,,
"
Maslino Sdn Bhd(536727-W)",Ng Yoon Kheong,Managing Director,Callie Tan,General Manager,2001,"2059, Lorong IKS Satu, Taman ISK, Kawasan Perindustrian Bukit Minyak

",14100,Seberang Prai,Pulau Pinang,Malaysia,604-502 5188,"MASLINO AND MASFLOOR
","Industrial and Construction, Resins, Solvents, Stabilisers, Others
",,,,"South Africa, Indonesia, Manila, Chile, Fiji, Pakistan, India
",,,,,
"
Matsui Manufacturing (S) Pte Ltd(993759-T)",None,None,None,None,None,None,None,None,"KA3-2-8 Kuchai Avenue, Jalan Kuchai Maju 13, Kuchai Lama


",58200,Kuala Lumpur,Wilayah Persekutuan,Malaysia,03-7982 8671,03-7982 8672,"
kiek@matsui.com.sg
,",None,None,None,None,,
"
Maztan Sdn Bhd(130976-T)",James Tang,None,Tang Wei Lee,Executive Director,1984,"28, Jalan Satria 6, JB Perdana Industrial Park

",81300,Skudai,Johor,Malaysia,607-512 1212,"Erope, Australia, Bangladesh, Africa, Middle East
","Medical Wipes, Hot and Cold Pack, All Kinds of Insulation Bags, Factory in China Manufacturers: , Piping Bags for Party and Flowers, Aprons (Single Folded, Rolls and Block), Bags on Rolls, Garbage Bags on Rolls, HDPE/LDPE Gloves
",None,,,,,,,,
"
Megastrike International Pte Ltd(199104671Z)",Ng Yik Kwan,None,Ng Yik Kwan,Managing Director,1991,"133, New Bridge Road, #14 - 03, Chinatown Point

",594,Singapore,Singapore,Singapore,65 - 6484 5611,"Resins
","Malaysia, Indonesia, Vietnam, China, Bangladesh, South Africa, Egypt, United Arab Emirates, 
","Prime And Near Prime Plastics Resins, Resin Supplier

",,,,,,,,
"
Miracle Spectrum Sdn Bhd(879490-W)",Oh Ying Ying,None,None,None,2009,"A-06-02, Garden Shoppe@ One City, Jalan USJ25/1F


",47650,Subang Jaya,Selangor,Malaysia,603-5885 3829,603--5885 3830,"
hello@miracle-spectrum.com
,","1. Supplier of : d2w oxo-biodegradable additives, 2. d2p - anti-microbial, anti-bacterial and anti-fungal additives, 3. Protector products for healthcare and consumer industry based on d2p technology
","Exclusive distributor for Symphony Environmental Technologies, pic (UK)
",None,,,,,,
"
Monitor ERP System Sdn Bhd(1046938-M)",Daniel Haggmark,None,None,None,2013,"3J-12-1, Wisma Seri Tanjung Pinang, Bayan Baru


",10470,Tanjong Tokong,Pulau Pinang,Malaysia,604-371 7816,"
miki.tan@monitorerp.com
,","
www.monitorerp.asia,","ERP System for Manufacturing Companies
",,,,,,,,
"
More Tech Precision Sdn Bhd(533236-A)",Tan Kean Hin,None,None,None,2000,"20, Jalan Canggih 7, 
Taman Perindustrian Cemerlang
",81800,Ulu Tiram,Johor,Malaysia,607-8637 762,607-8637 768,"
moretechjb@yahoo.com
,","Indonesia, Thailand
",,,,,,,,
"
Nagase (Malaysia) Sdn Bhd(76182-V)",Kenji Kitahara,None,None,None,1981,"Suite 16-01, Level 16, Menara IGB, Mid Valley City, Lingkaran Syed Putra


",59200,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603-2283 2366,603-2282 2399,"
chinhuat@nagase.com.my
,","Japan, South East Asia, India, Middle East, China
",,,,,,,,
"
Newlong (Malaysia) Sdn Bhd(89855-D)",T Tsuchiya,None,None,None,None,"2A, Jalan PJU 3/45, Sunway Damansara Technology Park

",47810,Petaling Jaya,Selangor,Malaysia,603-7805 2988,603-7804 7099,"
enquiry@newlong.com.my; tsuchiya@newlong.com.my
,","
www.newlong.com,","Machinery Manufacturer: Bag Making Machines, Sewing Machines, Closing and Auto Bagging Machines
",,,,,,,
